CD_BAIRRO,NM_BAIRRO,CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,CD_SUBDIST,NM_SUBDIST,CD_NU,NM_NU,CD_AGLOM,NM_AGLOM,CD_RGINT,NM_RGINT,CD_RGI,NM_RGI,CD_CONCURB,NM_CONCURB,AREA_KM2,v0001,v0002,v0003,v0004,v0005,v0006,v0007
1501402001,Batista Campos,1,Norte,15,Pará,1501402,Belém,150140255,Guamá,15014025500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"1,4237755",18335,7741,7734,7,"2,8","0,1573",6553
1501402002,Canudos,1,Norte,15,Pará,1501402,Belém,150140255,Guamá,15014025500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"0,7974898",11923,4752,4748,4,"3,0","0,0411",3943
1501402003,Cidade Velha,1,Norte,15,Pará,1501402,Belém,150140255,Guamá,15014025500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"1,4728060",10455,4122,4092,30,"3,1","0,0615",3315
1501402004,Condor,1,Norte,15,Pará,1501402,Belém,150140255,Guamá,15014025500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"1,8207109",34605,12711,12707,4,"3,2","0,0402",10708
1501402005,Cremação,1,Norte,15,Pará,1501402,Belém,150140255,Guamá,15014025500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"1,4723067",28604,10900,10897,3,"3,0","0,0406",9425
1501402006,Guamá,1,Norte,15,Pará,1501402,Belém,150140255,Guamá,15014025500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"4,3056352",81227,29853,29846,7,"3,2","0,0345",25379
1501402007,Jurunas,1,Norte,15,Pará,1501402,Belém,150140255,Guamá,15014025500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"2,5547633",53985,19944,19940,4,"3,2","0,0498",16785
1501402008,Marambaia,1,Norte,15,Pará,1501402,Belém,150140275,Sacramenta,15014027500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"5,0462974",58870,22648,22648,0,"3,1","0,0448",18945
1501402009,Marco,1,Norte,15,Pará,1501402,Belém,150140275,Sacramenta,15014027500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"4,8980420",59847,24432,24420,12,"2,9","0,0509",20487
1501402010,Fátima,1,Norte,15,Pará,1501402,Belém,150140275,Sacramenta,15014027500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"0,6187815",11233,4176,4172,4,"3,1","0,1161",3593
1501402011,Nazaré,1,Norte,15,Pará,1501402,Belém,150140205,Belém,15014020500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"1,5137009",17755,7963,7946,17,"2,7","0,1309",6599
1501402012,Pedreira,1,Norte,15,Pará,1501402,Belém,150140275,Sacramenta,15014027500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"3,7061280",64465,25650,25646,4,"3,0","0,0515",21783
1501402013,Reduto,1,Norte,15,Pará,1501402,Belém,150140205,Belém,15014020500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"0,8748510",5168,2354,2350,4,"2,7","0,1634",1897
1501402014,Sacramenta,1,Norte,15,Pará,1501402,Belém,150140275,Sacramenta,15014027500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"2,3694086",40835,15226,15226,0,"3,1","0,0518",13050
1501402015,São Brás,1,Norte,15,Pará,1501402,Belém,150140275,Sacramenta,15014027500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"1,6159094",17724,7802,7782,20,"2,8","0,1061",6279
1501402016,Souza,1,Norte,15,Pará,1501402,Belém,150140250,Entroncamento,15014025000,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"4,0408585",11032,4465,4459,6,"2,9","0,0530",3793
1501402017,Telégrafo,1,Norte,15,Pará,1501402,Belém,150140275,Sacramenta,15014027500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"2,3537573",38300,13499,13496,3,"3,3","0,0444",11561
1501402018,Montese (Terra Firme),1,Norte,15,Pará,1501402,Belém,150140255,Guamá,15014025500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"2,4096227",46750,16630,16627,3,"3,2","0,0382",14409
1501402019,Campina,1,Norte,15,Pará,1501402,Belém,150140205,Belém,15014020500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"1,0605035",5111,2905,2875,30,"2,5","0,1813",2019
1501402020,Umarizal,1,Norte,15,Pará,1501402,Belém,150140275,Sacramenta,15014027500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"2,6750945",32639,13694,13674,20,"2,9","0,1380",11424
1501402021,Barreiro,1,Norte,15,Pará,1501402,Belém,150140275,Sacramenta,15014027500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"1,0289983",22441,7847,7847,0,"3,3","0,0444",6804
1501402022,Maracangalha,1,Norte,15,Pará,1501402,Belém,150140275,Sacramenta,15014027500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"1,9437935",28478,9974,9956,18,"3,3","0,0494",8585
1501402023,Miramar,1,Norte,15,Pará,1501402,Belém,150140275,Sacramenta,15014027500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"1,6172676",578,205,205,0,"3,5","0,0659",167
1501402024,Curió-Utinga,1,Norte,15,Pará,1501402,Belém,150140255,Guamá,15014025500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"30,1058351",17413,6728,6726,2,"3,1","0,0410",5660
1501402025,Val-de-Cães,1,Norte,15,Pará,1501402,Belém,150140250,Entroncamento,15014025000,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"9,3263005",7068,2621,2621,0,"3,2","0,0560",2177
1501402026,Mangueirão,1,Norte,15,Pará,1501402,Belém,150140250,Entroncamento,15014025000,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"6,2454327",34605,13994,13993,1,"3,0","0,0366",11566
1501402027,Universitário,1,Norte,15,Pará,1501402,Belém,150140250,Entroncamento,15014025000,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"4,5765236",7385,2515,2514,1,"3,2","0,0600",2284
1501402028,Castanheira,1,Norte,15,Pará,1501402,Belém,150140250,Entroncamento,15014025000,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"2,3570300",19891,8331,8330,1,"3,0","0,0538",6724
1501402029,Guanabara,1,Norte,15,Pará,1501402,Belém,150140250,Entroncamento,15014025000,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"0,7485859",1439,556,556,0,"3,1","0,0149",469
1501402030,Águas Lindas,1,Norte,15,Pará,1501402,Belém,150140250,Entroncamento,15014025000,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"3,2927819",17108,6798,6797,1,"3,1","0,0432",5558
1501402031,Aurá,1,Norte,15,Pará,1501402,Belém,150140250,Entroncamento,15014025000,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"6,2793366",2016,825,825,0,"3,0","0,0210",666
1501402032,Bengui,1,Norte,15,Pará,1501402,Belém,150140245,Bengui,15014024500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"1,8957707",23549,8697,8697,0,"3,3","0,0346",7234
1501402033,Cabanagem,1,Norte,15,Pará,1501402,Belém,150140245,Bengui,15014024500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"1,7115664",22563,8908,8908,0,"3,1","0,0399",7197
1501402034,Coqueiro,1,Norte,15,Pará,1501402,Belém,150140245,Bengui,15014024500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"6,8865157",49790,20087,20083,4,"3,0","0,0502",16506
1501402035,Parque Verde,1,Norte,15,Pará,1501402,Belém,150140245,Bengui,15014024500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"4,9886348",42541,16999,16997,2,"3,0","0,0492",14002
1501402036,Pratinha,1,Norte,15,Pará,1501402,Belém,150140245,Bengui,15014024500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"3,8586676",22916,8564,8562,2,"3,2","0,0508",7146
1501402037,São Clemente,1,Norte,15,Pará,1501402,Belém,150140245,Bengui,15014024500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"1,2289776",8697,3397,3397,0,"3,2","0,0396",2703
1501402038,Tapanã,1,Norte,15,Pará,1501402,Belém,150140245,Bengui,15014024500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"10,7665405",69294,26452,26446,6,"3,2","0,0466",21719
1501402039,Una,1,Norte,15,Pará,1501402,Belém,150140245,Bengui,15014024500,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"0,8472578",5182,2338,2337,1,"3,0","0,0354",1749
1501402040,Águas Negras,1,Norte,15,Pará,1501402,Belém,150140260,Icoaraci,15014026000,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"5,1937195",9795,4254,4253,1,"3,1","0,0424",3211
1501402041,Agulha,1,Norte,15,Pará,1501402,Belém,150140260,Icoaraci,15014026000,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"1,2980815",16853,6706,6705,1,"3,1","0,0492",5504
1501402042,Campina de Icoaraci,1,Norte,15,Pará,1501402,Belém,150140260,Icoaraci,15014026000,,.,,.,,1501,Belém,150001,Belém,1501402,Belém/PA,"2,7028958",23038,8893,8891,2,"3,0","0,0381",7642
