CD_BAIRRO,NM_BAIRRO,V01006,V01007,V01008,V01009,V01010,V01011,V01012,V01013,V01014,V01015,V01016,V01017,V01018,V01019,V01020,V01021,V01022,V01023,V01024,V01025,V01026,V01027,V01028,V01029,V01030,V01031,V01032,V01033,V01034,V01035,V01036,V01037,V01038,V01039,V01040,V01041
1501402001,Batista Campos,18335,8032,10303,374,445,464,477,542,546,1159,1229,1086,856,854,367,430,396,548,621,594,1439,1551,1402,1339,1616,741,875,860,1025,1163,1140,2598,2780,2488,2195,2470
1501402002,Canudos,11923,5374,6549,233,275,321,375,435,408,758,812,811,560,386,235,266,329,388,445,457,903,982,988,832,720,468,543,652,763,880,865,1661,1794,1799,1392,1106
1501402003,Cidade Velha,10455,4762,5693,217,232,290,318,388,386,703,693,668,503,360,213,211,257,316,432,459,817,791,807,673,716,430,443,550,634,820,845,1520,1484,1475,1176,1078
1501402004,Condor,34605,16225,18380,879,1062,1140,1205,1356,1322,2401,2606,2031,1356,867,883,1000,1023,1242,1401,1477,2738,2968,2392,1740,1514,1762,2062,2163,2449,2757,2799,5139,5574,4423,3096,2381
1501402005,Cremação,28604,13030,15574,632,720,793,891,1083,919,1941,2052,1776,1303,918,622,724,752,859,1076,1068,2205,2438,2206,1780,1840,1256,1444,1549,1750,2159,1987,4146,4490,3982,3083,2758
1501402006,Guamá,81172,38091,43081,2149,2410,2671,3083,3445,3042,5646,5918,4645,3093,1983,2123,2483,2477,2992,3512,3330,6505,6791,5562,3868,3437,4272,4893,5148,6076,6957,6372,12151,12709,10207,6963,5424
1501402007,Jurunas,53985,25449,28536,1444,1636,1642,2030,2224,1916,3810,4082,3119,2109,1436,1348,1457,1644,1945,2218,2102,4327,4564,3656,2753,2520,2793,3095,3286,3975,4442,4018,8137,8646,6775,4862,3956
1501402008,Marambaia,58870,27139,31731,1375,1649,1798,1949,2146,2082,3978,4324,3503,2400,1917,1402,1552,1664,1948,2283,2266,4713,5082,4316,3271,3213,2781,3201,3465,3903,4436,4348,8692,9408,7821,5674,5135
1501402009,Marco,59847,26870,32977,1293,1495,1493,1739,2041,1965,4161,4187,3558,2801,2135,1206,1486,1508,1725,2213,2271,4795,4998,4659,4117,3987,2501,2983,3002,3468,4254,4238,8956,9185,8217,6919,6122
1501402010,Fátima,11233,5204,6029,258,299,298,373,443,398,784,775,698,520,355,250,301,309,369,408,474,802,884,893,707,632,511,600,607,742,851,872,1586,1659,1591,1227,987
1501402011,Nazaré,17755,7562,10193,292,325,336,429,533,601,1131,995,1069,929,917,272,329,395,485,628,643,1277,1388,1421,1509,1835,568,655,735,914,1161,1247,2408,2383,2490,2438,2754
1501402012,Pedreira,64465,29408,35057,1361,1671,1809,1984,2331,2235,4629,4467,3967,2967,1973,1425,1627,1667,1955,2330,2517,5362,5456,5044,3996,3673,2793,3299,3478,3940,4665,4756,9991,9923,9011,6963,5646
1501402013,Reduto,5168,2200,2968,99,89,87,124,143,150,364,311,264,294,275,85,87,75,111,199,193,392,397,411,470,548,184,176,162,235,342,343,756,708,675,764,823
1501402014,Sacramenta,40835,19120,21715,1074,1239,1292,1346,1646,1618,2909,2964,2363,1644,1023,1070,1172,1216,1332,1687,1622,3254,3532,2887,2138,1805,2144,2411,2508,2680,3333,3240,6163,6496,5250,3782,2828
1501402015,São Brás,17724,7768,9956,320,363,367,435,586,604,1215,1079,1053,927,811,320,338,379,474,665,602,1386,1369,1418,1392,1611,640,702,747,909,1251,1206,2601,2449,2473,2321,2422
1501402016,Souza,11032,5087,5945,228,239,319,373,426,453,792,841,634,468,313,221,279,272,338,459,492,967,894,790,679,554,449,518,591,711,885,945,1759,1735,1424,1147,868
1501402017,Telégrafo,38300,17763,20537,998,1113,1226,1368,1504,1336,2564,2722,2298,1565,1067,973,1065,1211,1404,1553,1407,2924,3207,2724,2151,1914,1971,2178,2439,2772,3057,2743,5488,5929,5022,3716,2981
1501402018,Montese (Terra Firme),46750,22369,24381,1237,1542,1653,1863,2001,1762,3532,3434,2516,1777,1041,1266,1403,1546,1902,1930,1784,3900,3846,3028,2111,1641,2503,2950,3204,3769,3934,3550,7432,7281,5545,3888,2685
1501402019,Campina,5111,2306,2805,104,97,87,134,192,194,363,317,322,282,196,73,95,102,138,209,190,415,413,398,357,401,189,195,192,272,402,386,778,730,720,639,606
1501402020,Umarizal,32639,14557,18082,659,800,800,844,1001,1109,2219,2150,2020,1675,1277,633,772,730,775,1184,1194,2645,2670,2640,2338,2497,1296,1574,1530,1620,2185,2303,4864,4820,4660,4013,3774
1501402021,Barreiro,22441,10783,11658,690,783,844,934,1000,912,1679,1676,1176,670,419,664,766,825,921,984,924,1935,1860,1346,798,635,1354,1549,1669,1855,1984,1836,3614,3536,2522,1468,1054
