CD_BAIRRO,NM_BAIRRO,V01317,V01318,V01319,V01320,V01321,V01322,V01323,V01324,V01325,V01326,V01327,V01328,V01329,V01330,V01331,V01332,V01333,V01334,V01335,V01336,V01337,V01338,V01339,V01340,V01341,V01342,V01343,V01344,V01345,V01346,V01347,V01348,V01349,V01350,V01351,V01352,V01353,V01354,V01355,V01356,V01357,V01358,V01359,V01360,V01361,V01362,V01363,V01364,V01365,V01366,V01367,V01368,V01369,V01370,V01371,V01372,V01373,V01374,V01375,V01376,V01377,V01378,V01379,V01380,V01381,V01382,V01383,V01384,V01385,V01386,V01387,V01388,V01389,V01390,V01391,V01392,V01393,V01394,V01395,V01396,V01397,V01398,V01399,V01400,V01401,V01402,V01403,V01404,V01405,V01406,V01407,V01408,V01409,V01410,V01411
1501402001,Batista Campos,8868,1225,140,8082,0,3816,594,56,3549,0,5052,631,70,4533,0,3071,456,38,2966,0,1452,1619,204,243,11,6,1398,1568,0,0,0,47,525,1107,1368,0,3,93,188,132,0,0,6,6,6,0,61,512,1204,1166,0,0,0,0,0,1289,120,9,1037,0,1644,234,19,1419,0,3578,604,51,3616,0,2357,254,23,2010,0,446,19,0,326,0,3370,554,51,3223,0,445,16,3,310,0,4605,599,60,4223,0
1501402002,Canudos,3264,1238,16,7371,20,1420,620,0,3318,4,1844,618,7,4053,11,965,478,0,2484,5,427,538,241,237,0,0,1135,1349,0,3,0,25,156,382,384,0,3,105,201,135,0,0,0,0,0,0,90,449,1026,911,0,3,0,0,0,497,125,0,1032,0,755,270,0,1466,7,1291,606,4,3339,0,721,230,0,1534,0,161,18,0,311,0,1256,587,0,3007,4,147,35,0,305,0,1695,571,7,3748,11
1501402003,Cidade Velha,3940,930,40,5522,13,1702,469,13,2561,5,2238,461,12,2961,7,1124,339,12,1828,0,512,612,166,171,0,3,883,945,0,0,0,27,205,399,476,0,0,67,146,106,0,0,0,0,0,0,54,405,731,630,0,0,0,0,0,589,88,0,735,0,884,210,3,1189,0,1540,446,7,2468,0,925,180,9,1130,0,192,16,0,223,0,1508,438,13,2338,4,182,13,0,215,0,2056,435,12,2746,7
1501402004,Condor,8210,5083,6,21260,19,3631,2550,0,10022,8,4579,2533,3,11238,8,2061,1781,0,6836,3,864,1196,795,986,0,0,2999,3837,0,0,0,43,402,862,705,0,55,391,751,539,0,0,0,0,0,7,247,1536,3016,2002,0,0,0,0,0,1778,629,0,3571,0,2027,1180,0,4783,4,3193,2355,0,9560,9,1212,909,0,3346,0,602,164,0,1154,0,3024,2370,0,8868,8,600,178,0,1083,0,3975,2337,3,10155,8
1501402005,Cremação,8932,3237,108,16265,33,3896,1527,36,7539,13,5036,1710,59,8726,12,2799,1149,32,5407,7,1222,1577,513,629,10,9,2440,2967,0,3,0,71,538,1114,1032,0,24,219,489,372,0,0,0,4,6,0,177,965,2303,1935,0,0,0,3,3,1530,341,9,2353,0,1852,675,7,3345,3,3722,1561,43,7253,7,1828,652,27,3314,3,515,75,3,731,0,3381,1429,32,6807,7,494,79,3,737,0,4536,1608,53,7988,9
1501402006,Guamá,19252,11811,58,49847,133,8693,5967,16,23301,51,10559,5844,22,26546,44,4940,4234,13,16104,14,2192,2748,1966,2266,0,4,7081,9023,0,7,3,126,948,2051,1673,3,126,1029,1835,1117,0,0,0,0,6,18,620,3655,7100,4655,0,0,3,0,0,4155,1360,0,8752,13,4754,2927,6,11640,32,7420,5618,17,21932,21,2921,1890,8,7523,3,1397,332,0,2745,0,7293,5567,6,20556,35,1391,348,0,2796,0,9168,5435,21,23748,34
1501402007,Jurunas,13987,7359,58,32509,31,6323,3794,8,15284,0,7664,3565,27,17225,16,3615,2566,11,10549,3,1610,2002,1167,1388,0,10,4497,6052,0,0,0,109,748,1496,1186,0,79,571,1079,764,0,0,0,7,0,24,455,2413,4499,3114,0,0,0,0,0,2911,788,0,5455,0,3389,1722,3,7292,4,5421,3538,17,14536,7,2264,1304,0,5226,0,1018,230,0,1784,0,5298,3527,8,13499,0,909,156,0,1695,0,6753,3371,20,15530,13
1501402008,Marambaia,17224,5624,153,35761,42,7638,2801,52,16588,7,9586,2822,70,19173,27,4851,2107,49,11865,3,2294,2550,1021,1070,8,0,5641,6224,0,3,3,74,976,1876,1834,0,33,451,892,626,0,0,0,7,9,0,352,2498,5081,3888,0,0,0,0,0,3129,576,4,5701,4,3800,1236,12,7592,3,7024,2719,38,16071,7,3268,1053,36,6397,3,1008,111,0,1841,0,6620,2633,45,14747,4,1025,109,0,1732,4,8554,2644,63,17437,20
1501402009,Marco,20832,5414,455,33039,53,9056,2595,155,14982,19,11776,2818,250,18057,24,6412,2049,144,11813,10,3064,3345,985,1048,39,52,5495,6318,0,3,5,192,1387,2368,2381,0,48,437,821,617,0,0,8,24,30,0,365,2410,4838,4143,0,0,0,0,0,3358,484,25,4544,4,4347,1191,53,6306,5,8650,2556,149,14914,11,4477,1132,83,7275,0,1162,81,3,1439,0,7890,2436,138,13538,17,1098,81,0,1436,0,10676,2677,238,16619,19
1501402010,Fátima,3011,1677,19,6501,14,1364,828,9,2984,10,1647,849,3,3517,0,796,585,7,2192,3,330,466,248,335,3,0,953,1239,0,0,0,11,166,302,293,0,13,103,262,190,0,0,0,0,0,0,80,392,941,771,0,0,0,3,0,545,200,3,963,0,721,355,4,1378,3,1166,784,6,2865,5,579,335,0,1295,0,190,73,3,283,0,1170,750,4,2701,9,170,54,0,321,0,1475,791,3,3196,0
1501402011,Nazaré,9635,748,191,7148,5,4077,289,65,3100,0,5558,457,99,4048,4,3418,274,74,2810,0,1536,1882,95,166,28,25,1268,1542,0,0,0,90,562,1127,1620,0,3,58,75,77,0,0,0,16,21,0,78,494,1022,1191,0,0,0,0,0,1165,39,0,725,0,1785,159,23,1327,0,3787,333,76,3058,3,2898,187,41,2038,0,377,0,0,225,0,3697,280,64,2873,0,347,5,0,228,0,5209,436,89,3818,4
1501402012,Pedreira,18805,7143,193,38184,74,8287,3498,57,17486,24,10518,3645,105,20698,36,5642,2676,55,13321,7,2586,3056,1252,1410,7,28,6032,7289,0,0,0,154,1276,2175,1974,0,39,580,1064,895,0,0,10,10,4,3,312,2835,5593,4524,0,0,0,3,0,3432,650,3,5436,3,4102,1534,31,7644,6,7799,3471,59,17516,13,3472,1463,29,7588,3,1192,127,0,1649,0,7090,3312,56,15835,21,1137,125,0,1709,0,9373,3454,101,18988,31
1501402013,Reduto,2670,278,47,2167,3,1123,121,21,931,0,1547,157,23,1236,0,917,110,9,852,0,429,488,49,57,0,5,383,469,0,0,0,17,145,290,459,0,0,28,30,39,0,0,0,0,4,0,22,138,287,400,0,0,0,0,0,282,8,3,221,0,465,74,3,373,0,1070,116,13,934,0,853,73,12,639,0,102,0,0,80,0,1021,118,16,851,0,97,0,0,72,0,1450,155,20,1164,0
1501402014,Sacramenta,9788,5257,32,25652,46,4374,2694,6,11987,19,5414,2563,13,13665,14,2532,1987,3,8478,6,1153,1377,976,1011,0,0,3873,4605,0,0,0,56,562,1021,842,0,29,434,892,567,0,0,0,3,0,0,248,1769,3755,2676,0,0,0,0,0,2093,546,3,4400,6,2316,1246,0,5658,8,3876,2553,4,11421,7,1503,903,4,4173,6,713,136,0,1421,0,3661,2520,3,10566,16,681,127,0,1391,4,4729,2404,11,12274,10
1501402015,São Brás,7666,1216,212,8598,12,3351,558,83,3757,7,4315,656,119,4841,3,2636,446,60,3106,0,1263,1371,196,246,25,31,1444,1662,0,0,0,67,467,930,1159,0,13,72,167,161,0,0,6,18,23,0,90,566,1070,1367,0,0,0,0,0,1021,78,10,957,0,1516,255,28,1552,0,3137,572,64,3727,4,1992,293,71,2362,3,361,7,0,290,0,2989,533,79,3465,6,305,0,3,323,0,4009,634,113,4516,3
1501402016,Souza,3841,979,36,6154,9,1705,519,6,2839,3,2136,460,21,3315,3,1181,402,10,2185,0,645,536,233,169,0,0,1139,1046,0,0,0,52,316,466,337,0,23,117,165,84,0,0,0,0,0,0,95,524,909,644,0,0,0,0,0,608,86,0,858,0,939,264,0,1329,0,1634,462,10,2792,6,660,166,8,1175,0,197,13,0,240,0,1508,490,6,2599,3,205,5,0,276,0,1931,442,20,3039,3
1501402017,Telégrafo,9472,5082,30,23641,36,4226,2510,3,10989,7,5246,2572,15,12652,21,2401,1734,6,7388,7,1054,1347,775,957,0,0,3262,4126,0,0,0,27,436,995,887,0,28,351,752,556,0,0,0,3,0,6,208,1404,3247,2492,0,0,0,0,0,1971,581,0,4023,0,2316,1128,0,5101,0,3613,2392,9,10381,14,1570,975,0,4136,0,661,171,0,1252,0,3557,2322,3,9735,7,660,144,0,1203,0,4584,2401,14,11449,20
