CD_BAIRRO,NM_BAIRRO,V00001,V00002,V00003,V00004,V00005,V00006,V00007,V00008,V00009,V00010,V00011,V00012,V00013,V00014,V00015,V00016,V00017,V00018,V00019,V00020,V00021,V00022,V00023,V00024,V00025,V00026,V00027,V00028,V00029,V00030,V00031,V00032,V00033,V00034,V00035,V00036,V00037,V00038,V00039,V00040,V00041,V00042,V00043,V00044,V00045,V00046,V00047,V00048,V00049,V00050,V00051,V00052,V00053,V00054,V00055,V00056,V00057,V00058,V00059,V00060,V00061,V00062,V00063,V00064,V00065,V00066,V00067,V00068,V00069,V00070,V00071,V00072,V00073,V00074,V00075,V00076,V00077,V00078,V00079,V00080,V00081,V00082,V00083,V00084,V00085,V00086,V00087,V00088,V00089
1501402001,Batista Campos,6551,0,11,6551,18321,0,11,1616,0,0,8022,0,7,10299,0,4,1183,1909,1599,1185,446,122,45,4,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1496,396,4647,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,18321,1616,8022,10299,1183,1909,1599,1185,446,122,45,4,6,0,4813,1125,12366,378,84,1138
1501402002,Canudos,3942,0,0,3942,11918,3,0,1011,0,0,5372,0,0,6546,0,0,677,983,1008,665,319,154,58,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232,477,222,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11918,1011,5372,6546,677,983,1008,665,319,154,58,18,6,0,10172,1251,473,825,132,34
1501402003,Cidade Velha,3308,4,47,3308,10389,16,50,872,0,0,4725,9,27,5664,4,23,511,810,780,682,255,130,62,18,3,11,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,2306,349,646,0,0,0,0,0,3,0,0,0,0,0,0,0,19,28,0,0,0,0,0,10389,872,4725,5664,511,810,780,682,255,130,62,18,3,11,7622,1043,1717,611,100,149
1501402004,Condor,10705,0,3,10705,34589,9,5,3821,0,0,16217,0,3,18372,6,0,1828,2358,2531,1891,998,527,257,117,24,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8759,1483,350,95,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,34589,3821,16217,18372,1828,2358,2531,1891,998,527,257,117,24,43,29097,4368,860,3149,513,92
1501402005,Cremação,9418,3,7,9418,28578,16,7,2700,0,0,13016,9,0,15562,7,4,1632,2388,2262,1727,750,304,142,69,18,27,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5590,1051,2663,93,0,0,0,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,28578,2700,13016,15562,1632,2388,2262,1727,750,304,142,69,18,27,18297,3004,7018,1680,318,651
1501402006,Guamá,25375,0,20,25375,81138,3,25,9164,0,0,38072,3,12,43066,0,11,3899,5816,6184,4883,2403,1072,484,223,48,69,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20151,3597,1512,75,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,81138,9164,38072,43066,3899,5816,6184,4883,2403,1072,484,223,48,69,66485,10318,4075,7333,1279,446
1501402007,Jurunas,16783,0,0,16783,53983,0,0,5888,0,0,25447,0,0,28536,0,0,2705,3863,3971,3019,1677,720,349,145,61,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11510,3109,2093,28,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53983,5888,25447,28536,2705,3863,3971,3019,1677,720,349,145,61,96,38733,9637,5440,4068,1209,552
1501402008,Marambaia,18935,8,0,18935,58846,20,0,5982,4,0,27125,11,0,31721,9,0,2748,4666,4833,3671,1666,750,270,73,20,17,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15381,1330,2148,33,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58846,5982,27125,31721,2748,4666,4833,3671,1666,750,270,73,20,17,49489,3429,5821,4863,407,658
1501402009,Marco,20485,0,22,20485,59806,0,39,5472,0,13,26852,0,12,32954,0,22,3499,5651,5048,3652,1539,609,175,48,22,11,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10813,2752,6866,24,0,0,0,0,0,0,0,0,0,3,0,0,4,0,15,0,0,0,0,59806,5472,26852,32954,3499,5651,5048,3652,1539,609,175,48,22,11,34038,7681,17964,2895,745,1784
1501402010,Fátima,3592,0,0,3592,11231,0,0,1111,0,0,5203,0,0,6028,0,0,611,885,827,629,324,149,83,18,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,604,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11231,1111,5203,6028,611,885,827,629,324,149,83,18,13,3,8282,1756,1179,784,193,126
1501402011,Nazaré,6599,0,21,6599,17732,0,21,1225,0,0,7544,0,17,10188,0,0,1297,2075,1558,1036,427,136,26,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,877,417,5270,25,0,0,0,0,0,0,0,0,0,6,0,0,6,9,0,0,0,0,0,17732,1225,7544,10188,1297,2075,1558,1036,427,136,26,0,0,0,2681,1098,13881,160,61,983
1501402012,Pedreira,21781,0,21,21781,64428,9,27,6091,0,0,29401,4,0,35027,0,27,3829,5866,5235,3786,1689,727,262,100,11,39,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,12780,3207,5682,86,0,0,0,0,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,64428,6091,29401,35027,3829,5866,5235,3786,1689,727,262,100,11,39,40901,8954,14321,3592,937,1489
