CD_BAIRRO,NM_BAIRRO,Pessoas responsáveis em domicílios particulares permanentes ocupados,Moradores em domicílios particulares permanentes ocupados,Variância do número de moradores em domicílios particulares permanentes ocupados,Valor do rendimento nominal médio mensal das pessoas responsáveis com rendimentos por domicílios particulares permanentes ocupados,Variância do rendimento nominal mensal das pessoas responsáveis com rendimentos por domicílios particulares permanentes ocupados
1501402001,Batista Campos,6551,18321,1.97,9423.35,92407694.09
1501402002,Canudos,3942,11918,2.68,2763.49,10681250.35
1501402003,Cidade Velha,3308,10389,2.95,4379.81,25394617.89
1501402004,Condor,10705,34589,3.55,1724.97,3763169.19
1501402005,Cremação,9418,28578,2.86,4343.32,42142296.67
1501402006,Guamá,25375,81138,3.04,2342.83,1709437854.03
1501402007,Jurunas,16783,53983,3.34,2615.61,17241926.6
1501402008,Marambaia,18935,58846,2.55,3487.72,38277218.88
1501402009,Marco,20485,59806,2.37,5752.58,47337764.16
1501402010,Fátima,3592,11231,3.12,3569.21,1170532383.83
1501402011,Nazaré,6599,17732,1.82,10892.99,743207595.24
1501402012,Pedreira,21781,64428,2.59,4131.53,40451934.04
1501402013,Reduto,1896,5162,2.03,9637.98,96060276.04
1501402014,Sacramenta,13046,40824,2.95,2157.7,6717816.82
1501402015,São Brás,6278,17673,2.17,7600.1,70039647.21
1501402016,Souza,3793,10972,2.02,5571.21,36610180.16
1501402017,Telégrafo,11561,38241,3.34,2652.47,200171789.44
1501402018,Montese (Terra Firme),14382,46635,3.12,1694.93,120700873.26
1501402019,Campina,2013,5086,2.09,5934.17,51423550.18
1501402020,Umarizal,11421,32590,2.2,9752.31,116456860.5
1501402021,Barreiro,6798,22430,3.08,1308.2,938078.29
1501402022,Maracangalha,8583,28291,2.98,2013.6,4743879.55
1501402023,Miramar,167,578,2.6,1437.95,1467973.71
1501402024,Curió-Utinga,5660,17410,2.59,2585.96,12593926.7
1501402025,Val-de-Cães,2177,7068,2.08,7144.7,65814825.98
1501402026,Mangueirão,11563,34576,2.36,3500.59,49266810.35
1501402027,Universitário,2149,6966,2.72,1092.8,746253.61
1501402028,Castanheira,6723,19889,2.5,2835.35,13493343.83
1501402029,Guanabara,469,1439,3.97,1764.71,3707214.94
1501402030,Águas Lindas,5558,17108,2.43,1389.03,1875350.56
1501402031,Aurá,666,2016,2.58,1282.66,1731453.97
1501402032,Bengui,7233,23548,2.72,1590.58,2157621.46
1501402033,Cabanagem,7197,22563,2.71,1457.71,1880343.02
1501402034,Coqueiro,16501,49732,2.18,3117.25,742075622.88
1501402035,Parque Verde,13998,42516,2.25,4466.03,42449655.05
1501402036,Pratinha,7140,22898,2.58,2027.35,47786891.73
1501402037,São Clemente,2703,8697,2.63,1272.58,1484074.61
1501402038,Tapanã,21708,69083,2.45,2303.72,14708159.26
1501402039,Una,1748,5180,2.4,2020.11,6034998.76
1501402040,Águas Negras,3210,9792,2.28,1532.68,2353870.94
1501402041,Agulha,5502,16850,2.38,1779.27,4082450.39
1501402042,Campina de Icoaraci,7637,23024,2.35,1952.43,151503684.14
1501402043,Cruzeiro,3816,11427,2.17,2396.08,10773211.79
1501402044,Maracacuera,6481,19668,2.15,1346.75,1197479.31
1501402045,Paracuri,5218,16220,2.53,1361.69,3563432.02
1501402046,Parque Guajará,9247,28212,2.3,1803.8,4407407.24
1501402047,Ponta Grossa,3993,11728,2.27,2067.72,5501825.53
1501402048,Tenoné,11912,36645,2.18,2066.11,4949802.44
